"","Leaf04","Leaf07","Leaf08","Leaf09","Leaf13","Leaf14","Leaf15","Leaf19","Leaf22","Leaf26","Leaf28","Leaf30","Leaf31","Leaf32","Leaf35","Leaf36","Leaf37","Leaf38","Leaf40","Leaf41","Leaf42","Leaf45","Leaf48","Leaf52","Leaf54","Leaf57","Leaf66","Leaf71","RX075Marsh75","RX080Marsh80","RX087Marsh87","RX001Marsh1","RX006Marsh6","RX021Marsh21","RX113Marsh113"
"Leaf04",0,0.422,0.827,0.841,0.798,0.618,0.985,0.537,0.651,0.915,0.443,0.586,0.925,0.778,0.52,0.526,0.91,0.7,0.864,0.864,0.812,0.759,0.863,0.671,0.837,0.726,0.9,0.527,0.796,0.689,0.704,0.897,0.725,0.851,0.69
"Leaf07",0.422,0,0.91,0.912,0.873,0.622,0.939,0.581,0.521,0.996,0.423,0.517,0.92,0.892,0.59,0.548,0.914,0.651,0.903,0.918,0.9,0.746,0.899,0.673,0.843,0.77,0.904,0.579,0.874,0.798,0.68,0.934,0.769,0.944,0.757
"Leaf08",0.827,0.91,0,0.661,0.896,0.939,0.998,0.924,0.955,0.584,0.929,0.921,0.961,0.949,0.61,0.914,0.668,0.968,0.621,0.632,0.578,0.922,0.635,0.876,0.67,0.879,0.63,0.916,0.691,0.771,0.735,0.921,0.825,0.884,0.649
"Leaf09",0.841,0.912,0.661,0,0.892,0.934,0.998,0.799,0.969,0.996,0.935,0.933,0.974,0.848,0.693,0.924,0.799,0.951,0.717,0.745,0.699,0.895,0.719,0.851,0.797,0.863,0.73,0.904,0.652,0.726,0.727,0.87,0.744,0.921,0.701
"Leaf13",0.798,0.873,0.896,0.892,0,0.926,0.984,0.78,0.879,0.966,0.864,0.877,0.867,0.477,0.909,0.82,0.936,0.916,0.843,0.828,0.849,0.878,0.85,0.86,0.931,0.624,0.868,0.879,0.863,0.856,0.88,0.942,0.887,0.912,0.837
"Leaf14",0.618,0.622,0.939,0.934,0.926,0,0.985,0.544,0.69,0.996,0.535,0.586,0.918,0.948,0.608,0.429,0.975,0.733,0.954,0.668,0.941,0.378,0.954,0.667,0.568,0.766,0.944,0.648,0.92,0.801,0.842,0.985,0.861,0.979,0.846
"Leaf15",0.985,0.939,0.998,0.998,0.984,0.985,0,0.981,0.944,0.997,0.964,0.941,0.984,0.997,0.985,0.981,0.99,0.94,0.992,0.994,0.998,0.987,0.997,0.982,0.984,0.985,0.997,0.983,0.985,0.981,0.983,0.994,0.983,0.99,0.981
"Leaf19",0.537,0.581,0.924,0.799,0.78,0.544,0.981,0,0.663,0.977,0.439,0.546,0.879,0.736,0.6,0.406,0.972,0.683,0.826,0.89,0.789,0.685,0.842,0.579,0.891,0.726,0.849,0.566,0.778,0.74,0.714,0.883,0.747,0.884,0.725
"Leaf22",0.651,0.521,0.955,0.969,0.879,0.69,0.944,0.663,0,0.998,0.575,0.533,0.9,0.946,0.709,0.626,0.973,0.72,0.898,0.964,0.662,0.756,0.608,0.467,0.936,0.745,0.618,0.683,0.936,0.88,0.811,0.972,0.851,0.977,0.832
"Leaf26",0.915,0.996,0.584,0.996,0.966,0.996,0.997,0.977,0.998,0,0.981,0.978,0.993,0.961,0.983,0.974,0.997,0.988,0.992,0.992,0.892,0.993,0.996,0.989,0.997,0.996,0.995,0.969,0.958,0.956,0.981,0.989,0.987,0.934,0.942
"Leaf28",0.443,0.423,0.929,0.935,0.864,0.535,0.964,0.439,0.575,0.981,0,0.482,0.882,0.89,0.55,0.416,0.958,0.657,0.908,0.953,0.9,0.712,0.921,0.591,0.863,0.763,0.92,0.507,0.835,0.736,0.708,0.905,0.737,0.866,0.727
"Leaf30",0.586,0.517,0.921,0.933,0.877,0.586,0.941,0.546,0.533,0.978,0.482,0,0.894,0.914,0.607,0.515,0.952,0.667,0.899,0.941,0.889,0.728,0.904,0.661,0.893,0.815,0.907,0.624,0.898,0.782,0.833,0.938,0.853,0.926,0.828
"Leaf31",0.925,0.92,0.961,0.974,0.867,0.918,0.984,0.879,0.9,0.993,0.882,0.894,0,0.966,0.941,0.859,0.962,0.922,0.914,0.974,0.917,0.889,0.918,0.875,0.946,0.893,0.922,0.896,0.941,0.931,0.935,0.972,0.929,0.969,0.928
"Leaf32",0.778,0.892,0.949,0.848,0.477,0.948,0.997,0.736,0.946,0.961,0.89,0.914,0.966,0,0.882,0.869,0.992,0.932,0.929,0.874,0.816,0.896,0.926,0.911,0.957,0.723,0.942,0.878,0.838,0.813,0.835,0.87,0.801,0.877,0.838
"Leaf35",0.52,0.59,0.61,0.693,0.909,0.608,0.985,0.6,0.709,0.983,0.55,0.607,0.941,0.882,0,0.552,0.581,0.737,0.554,0.592,0.688,0.734,0.66,0.641,0.495,0.803,0.608,0.58,0.621,0.607,0.576,0.858,0.66,0.855,0.542
"Leaf36",0.526,0.548,0.914,0.924,0.82,0.429,0.981,0.406,0.626,0.974,0.416,0.515,0.859,0.869,0.552,0,0.97,0.688,0.871,0.878,0.858,0.609,0.905,0.501,0.772,0.648,0.876,0.489,0.778,0.635,0.688,0.834,0.73,0.801,0.717
"Leaf37",0.91,0.914,0.668,0.799,0.936,0.975,0.99,0.972,0.973,0.997,0.958,0.952,0.962,0.992,0.581,0.97,0,0.975,0.38,0.589,0.721,0.939,0.67,0.977,0.514,0.91,0.631,0.943,0.757,0.829,0.759,0.945,0.849,0.964,0.709
"Leaf38",0.7,0.651,0.968,0.951,0.916,0.733,0.94,0.683,0.72,0.988,0.657,0.667,0.922,0.932,0.737,0.688,0.975,0,0.957,0.973,0.957,0.793,0.965,0.733,0.911,0.864,0.964,0.718,0.914,0.832,0.843,0.968,0.853,0.951,0.851
"Leaf40",0.864,0.903,0.621,0.717,0.843,0.954,0.992,0.826,0.898,0.992,0.908,0.899,0.914,0.929,0.554,0.871,0.38,0.957,0,0.529,0.597,0.874,0.518,0.85,0.512,0.788,0.485,0.922,0.691,0.774,0.729,0.879,0.799,0.924,0.644
