"OTUs","Rain_spec","Seed_spec","Rain_fid","Seed_fid","Rain_IndV","Seed_IndV","s.Rain","s.Seed","index","stat","p.value"
"Zotu100",0.88663967611336,0.11336032388664,0.732142857142857,0.25,0.649146905725853,0.0283400809716599,1,0,1,0.805696534512749,0.1139
"Zotu10004",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu10013",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu10018",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu1002",1,0,0.0535714285714286,0,0.0535714285714286,0,1,0,1,0.231455024943138,1
"Zotu10022",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu10028",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu1003",1,0,0.0535714285714286,0,0.0535714285714286,0,1,0,1,0.231455024943138,1
"Zotu1004",1,0,0.107142857142857,0,0.107142857142857,0,1,0,1,0.327326835353989,1
"Zotu1005",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu1009",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu10098",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu101",0,1,0,0.75,0,0.75,0,1,2,0.866025403784439,2e-04
"Zotu10114",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu1012",1,0,0.0357142857142857,0,0.0357142857142857,0,1,0,1,0.188982236504614,1
"Zotu1013",1,0,0.0892857142857143,0,0.0892857142857143,0,1,0,1,0.298807152333598,1
"Zotu10139",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu10154",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
"Zotu10159",1,0,0.0178571428571429,0,0.0178571428571429,0,1,0,1,0.133630620956212,1
