"","Leaf04","Leaf07","Leaf08","Leaf09","Leaf13","Leaf14","Leaf15","Leaf19","Leaf22","Leaf26","Leaf28","Leaf30","Leaf31","Leaf32","Leaf35","Leaf36","Leaf37","Leaf38","Leaf40","Leaf41","Leaf42","Leaf45","Leaf48","Leaf52","Leaf54","Leaf57","Leaf66","Leaf71","RX075Marsh75","RX080Marsh80","RX087Marsh87","RX001Marsh1","RX006Marsh6","RX021Marsh21","RX113Marsh113"
"Leaf04",0,0.708333333333333,0.794871794871795,0.757575757575757,0.661764705882353,0.722222222222222,0.884057971014493,0.714285714285714,0.788732394366197,0.890909090909091,0.743119266055046,0.727272727272727,0.666666666666667,0.777777777777778,0.412698412698413,0.597701149425287,0.775862068965517,0.716216216216216,0.746835443037975,0.830985915492958,0.738461538461538,0.769230769230769,0.864406779661017,0.756756756756757,0.780821917808219,0.802325581395349,0.873239436619718,0.736,0.829145728643216,0.843881856540084,0.824468085106383,0.906716417910448,0.846473029045643,0.889344262295082,0.82843137254902
"Leaf07",0.708333333333333,0,0.929411764705882,0.887323943661972,0.842105263157895,0.813333333333333,0.786885245901639,0.831858407079646,0.742424242424242,0.925925925925926,0.747663551401869,0.716216216216216,0.763888888888889,0.896551724137931,0.671232876712329,0.734042553191489,0.763636363636364,0.666666666666667,0.857142857142857,0.904109589041096,0.902777777777778,0.776315789473684,0.896551724137931,0.794642857142857,0.716417910447761,0.780487804878049,0.867647058823529,0.834586466165414,0.904761904761905,0.907258064516129,0.893401015228426,0.941605839416058,0.908730158730159,0.940711462450593,0.897196261682243
"Leaf08",0.794871794871795,0.929411764705882,0,0.709677419354839,0.828947368421053,0.860759493670886,0.972602739726027,0.863247863247863,0.864864864864865,0.865384615384615,0.855932203389831,0.843373493975904,0.902439024390244,0.897727272727273,0.790123456790124,0.823529411764706,0.921875,0.892857142857143,0.831325301204819,0.791044776119403,0.75,0.880952380952381,0.75,0.920634920634921,0.9125,0.839080459770115,0.852941176470588,0.877697841726619,0.894736842105263,0.924901185770751,0.91044776119403,0.934065934065934,0.917647058823529,0.915322580645161,0.897674418604651
"Leaf09",0.757575757575757,0.887323943661972,0.709677419354839,0,0.815384615384615,0.8,0.967213114754098,0.825242718446602,0.819672131147541,0.931818181818182,0.839622641509434,0.88,0.869565217391304,0.866666666666667,0.771428571428571,0.875,0.86,0.875,0.866666666666667,0.868852459016394,0.666666666666667,0.845070422535211,0.795454545454545,0.892857142857143,0.863636363636364,0.873417721518987,0.821428571428572,0.866141732283465,0.893939393939394,0.921161825726141,0.910526315789474,0.962825278810409,0.909090909090909,0.929166666666667,0.902439024390244
"Leaf13",0.661764705882353,0.842105263157895,0.828947368421053,0.815384615384615,0,0.808219178082192,0.857142857142857,0.737864077669903,0.791044776119403,0.857142857142857,0.766355140186916,0.776315789473684,0.619047619047619,0.839506172839506,0.75,0.728260869565217,0.821428571428572,0.767123287671233,0.763157894736842,0.78125,0.716666666666667,0.77027027027027,0.830188679245283,0.863247863247863,0.833333333333333,0.833333333333333,0.80952380952381,0.823076923076923,0.882352941176471,0.897540983606557,0.88659793814433,0.929368029739777,0.899193548387097,0.92741935483871,0.875
"Leaf14",0.722222222222222,0.813333333333333,0.860759493670886,0.8,0.808219178082192,0,0.876923076923077,0.702970297029703,0.828571428571429,0.924528301886792,0.745283018867924,0.779220779220779,0.76056338028169,0.944444444444444,0.736842105263158,0.659090909090909,0.781818181818182,0.77027027027027,0.827160493827161,0.838235294117647,0.818181818181818,0.685714285714286,0.932203389830508,0.814159292035398,0.650793650793651,0.730769230769231,0.882352941176471,0.815384615384615,0.893719806763285,0.89344262295082,0.887179487179487,0.949090909090909,0.904,0.944664031620553,0.886255924170616
"Leaf15",0.884057971014493,0.786885245901639,0.972602739726027,0.967213114754098,0.857142857142857,0.876923076923077,0,0.895238095238095,0.824561403508772,0.923076923076923,0.854368932038835,0.82089552238806,0.859375,0.974358974358974,0.89041095890411,0.880434782608696,0.844444444444444,0.733333333333333,0.918918918918919,0.933333333333333,0.967213114754098,0.9,0.956521739130435,0.908256880733945,0.852459016393443,0.88,0.966101694915254,0.922480620155039,0.950980392156863,0.954918032786885,0.953367875647668,0.977611940298508,0.959839357429719,0.967213114754098,0.947368421052632
"Leaf19",0.714285714285714,0.831858407079646,0.863247863247863,0.825242718446602,0.737864077669903,0.702970297029703,0.895238095238095,0,0.842592592592593,0.876404494382023,0.656488549618321,0.776785714285714,0.775700934579439,0.830508474576271,0.724770642201835,0.54954954954955,0.865979381443299,0.770642201834862,0.756756756756757,0.838095238095238,0.76530612244898,0.726415094339623,0.918367346938776,0.74468085106383,0.780952380952381,0.765217391304348,0.797979797979798,0.761006289308176,0.822510822510823,0.845018450184502,0.823529411764706,0.904290429042904,0.838827838827839,0.884892086330935,0.827004219409283
"Leaf22",0.788732394366197,0.742424242424242,0.864864864864865,0.819672131147541,0.791044776119403,0.828571428571429,0.824561403508772,0.842592592592593,0,0.959183673469388,0.778846153846154,0.777777777777778,0.845070422535211,0.927710843373494,0.831168831168831,0.857142857142857,0.826923076923077,0.785714285714286,0.844155844155844,0.841269841269841,0.819672131147541,0.853333333333333,0.8125,0.92436974789916,0.838235294117647,0.851851851851852,0.852459016393443,0.870229007633588,0.922705314009662,0.935483870967742,0.939698492462312,0.951851851851852,0.94488188976378,0.960159362549801,0.924882629107981
"Leaf26",0.890909090909091,0.925925925925926,0.865384615384615,0.931818181818182,0.857142857142857,0.924528301886792,0.923076923076923,0.876404494382023,0.959183673469388,0,0.891304347826087,0.833333333333333,0.86,0.896551724137931,0.879310344827586,0.87012987012987,0.909090909090909,0.823529411764706,0.915254237288136,0.909090909090909,0.853658536585366,0.890909090909091,0.896551724137931,0.91578947368421,0.941176470588235,0.9375,0.902439024390244,0.911504424778761,0.946808510638298,0.951754385964912,0.949152542372881,0.972111553784861,0.957081545064378,0.960352422907489,0.948453608247423
"Leaf28",0.743119266055046,0.747663551401869,0.855932203389831,0.839622641509434,0.766355140186916,0.745283018867924,0.854368932038835,0.656488549618321,0.778846153846154,0.891304347826087,0,0.688679245283019,0.757009345794392,0.861788617886179,0.682242990654206,0.582608695652174,0.857142857142857,0.728971962616822,0.823529411764706,0.892857142857143,0.805825242718447,0.743119266055046,0.930693069306931,0.73943661971831,0.773584905660377,0.819672131147541,0.858490566037736,0.740506329113924,0.79295154185022,0.806818181818182,0.787037037037037,0.886666666666667,0.818518518518519,0.844444444444444,0.771929824561403
"Leaf30",0.727272727272727,0.716216216216216,0.843373493975904,0.88,0.776315789473684,0.779220779220779,0.82089552238806,0.776785714285714,0.777777777777778,0.833333333333333,0.688679245283019,0,0.763157894736842,0.865168539325843,0.692307692307692,0.721649484536083,0.783333333333333,0.652777777777778,0.825581395348837,0.802816901408451,0.8,0.710526315789474,0.868852459016394,0.833333333333333,0.786666666666667,0.858695652173913,0.861111111111111,0.796992481203007,0.891509433962264,0.878048780487805,0.862244897959184,0.931159420289855,0.897637795275591,0.916666666666667,0.85781990521327
"Leaf31",0.666666666666667,0.763888888888889,0.902439024390244,0.869565217391304,0.619047619047619,0.76056338028169,0.859375,0.775700934579439,0.845070422535211,0.86,0.757009345794392,0.763157894736842,0,0.869047619047619,0.753246753246753,0.717391304347826,0.759259259259259,0.736111111111111,0.79746835443038,0.887323943661972,0.835820895522388,0.73972602739726,0.894736842105263,0.824561403508772,0.768115942028985,0.821428571428572,0.882352941176471,0.806201550387597,0.888349514563107,0.89344262295082,0.887179487179487,0.941391941391941,0.890688259109312,0.936254980079681,0.870192307692308
"Leaf32",0.777777777777778,0.896551724137931,0.897727272727273,0.866666666666667,0.839506172839506,0.944444444444444,0.974358974358974,0.830508474576271,0.927710843373494,0.896551724137931,0.861788617886179,0.865168539325843,0.869047619047619,0,0.759036144578313,0.80952380952381,0.957746478873239,0.898876404494382,0.879120879120879,0.897435897435897,0.819444444444444,0.875,0.923076923076923,0.889763779527559,0.942528735632184,0.95049504950495,0.847222222222222,0.889655172413793,0.912442396313364,0.922178988326848,0.923076923076923,0.939068100358423,0.923371647509579,0.937984496124031,0.914798206278027
"Leaf35",0.412698412698413,0.671232876712329,0.790123456790124,0.771428571428571,0.75,0.736842105263158,0.89041095890411,0.724770642201835,0.831168831168831,0.879310344827586,0.682242990654206,0.692307692307692,0.753246753246753,0.759036144578313,0,0.584269662921348,0.80952380952381,0.730769230769231,0.74390243902439,0.824324324324324,0.753623188405797,0.75,0.873015873015873,0.743362831858407,0.726027397260274,0.784090909090909,0.864864864864865,0.682926829268293,0.82089552238806,0.831932773109244,0.803191489361702,0.908088235294118,0.839506172839506,0.877551020408163,0.808823529411765
"Leaf36",0.597701149425287,0.734042553191489,0.823529411764706,0.875,0.728260869565217,0.659090909090909,0.880434782608696,0.54954954954955,0.857142857142857,0.87012987012987,0.582608695652174,0.721649484536083,0.717391304347826,0.80952380952381,0.584269662921348,0,0.845238095238095,0.752577319587629,0.724489795918367,0.840425531914894,0.813186813186813,0.629213483146067,0.931034482758621,0.633333333333333,0.707865168539326,0.722772277227723,0.795454545454545,0.676258992805755,0.760765550239235,0.790322580645161,0.765,0.85663082437276,0.788844621513944,0.83984375,0.767441860465116
"Leaf37",0.775862068965517,0.763636363636364,0.921875,0.86,0.821428571428572,0.781818181818182,0.844444444444444,0.865979381443299,0.826923076923077,0.909090909090909,0.857142857142857,0.783333333333333,0.759259259259259,0.957746478873239,0.80952380952381,0.845238095238095,0,0.813559322033898,0.84375,0.862745098039216,0.882352941176471,0.754385964912281,0.833333333333333,0.902912621359223,0.745098039215686,0.818181818181818,0.9,0.872881355932203,0.933333333333333,0.931330472103004,0.92896174863388,0.961240310077519,0.945833333333333,0.966386554621849,0.924623115577889
