"","Leaf03","Leaf04","Leaf05","Leaf10","Leaf12","Leaf13","Leaf18","Leaf21","Leaf23","Leaf24","Leaf25","Leaf27","Leaf31","Leaf39","Leaf43","Leaf46","Leaf47","Leaf49","Leaf55","Leaf56","Leaf59","Leaf60","Leaf61","Leaf65","Leaf67","Leaf68","Leaf70","Leaf71","Leaf73","RX051Marsh51","RX056Marsh56","RX058Marsh58","RX064Marsh64","RX067Marsh67","RX068Marsh68","RX069Marsh69","RX070Marsh70","RX071Marsh71","RX072Marsh72","RX073Marsh73","RX074Marsh74","RX075Marsh75","RX076Marsh76","RX077Marsh77","RX078Marsh78","RX079Marsh79","RX080Marsh80","RX081Marsh81","RX083Marsh83","RX084Marsh84","RX085Marsh85","RX087Marsh87","RX088Marsh88","RX089Marsh89","RX091Marsh91","RX092Marsh92","RX093Marsh93","RX094Marsh94","RX095Marsh95","RX096Marsh96","RX097Marsh97","RX099Marsh99","RX001Marsh1","RX005Marsh5","RX006Marsh6","RX009Marsh9","RX013Marsh13","RX016Marsh16","RX017Marsh17","RX021Marsh21","RX022Marsh22","RX024Marsh24","RX025Marsh25","RX036Marsh36","RX046Marsh46","RX103Marsh103","RX106Marsh106","RX107Marsh107","RX108Marsh108","RX109Marsh109","RX111Marsh111","RX112Marsh112","RX113Marsh113","RX118Marsh118","RX120Marsh120"
"Leaf03",0,0.741935483870968,0.737704918032787,0.635714285714286,0.612121212121212,0.838461538461538,0.621621621621622,0.744360902255639,0.63905325443787,0.670588235294118,0.859504132231405,0.713235294117647,0.830769230769231,0.588957055214724,0.637837837837838,0.735537190082645,0.656441717791411,0.61744966442953,0.785185185185185,0.736842105263158,0.588235294117647,0.67948717948718,0.728682170542636,0.627450980392157,0.71523178807947,0.672727272727273,0.722222222222222,0.761363636363636,0.704697986577181,0.799107142857143,0.832432432432432,0.88421052631579,0.778378378378378,0.798319327731092,0.754166666666667,0.829181494661922,0.819852941176471,0.806691449814126,0.860294117647059,0.829545454545454,0.88412017167382,0.76890756302521,0.841726618705036,0.795833333333333,0.791304347826087,0.777777777777778,0.807142857142857,0.828897338403042,0.802768166089965,0.787878787878788,0.789473684210526,0.814345991561181,0.774193548387097,0.771317829457364,0.784232365145228,0.858585858585858,0.834782608695652,0.8,0.777142857142857,0.771428571428571,0.88563829787234,0.736434108527132,0.857605177993528,0.745192307692308,0.80565371024735,0.810810810810811,0.792727272727273,0.76271186440678,0.850220264317181,0.862542955326461,0.776119402985075,0.832740213523132,0.755274261603376,0.907216494845361,0.787037037037037,0.825622775800712,0.81640625,0.772200772200772,0.807453416149068,0.778947368421053,0.826415094339623,0.816254416961131,0.774590163934426,0.750915750915751,0.7578125
"Leaf04",0.741935483870968,0,0.746666666666667,0.798165137614679,0.757352941176471,0.661764705882353,0.747826086956522,0.679012345679012,0.835616438356164,0.797101449275362,0.655172413793103,0.707865168539326,0.666666666666667,0.835616438356164,0.8,0.632352941176471,0.786259541984733,0.76271186440678,0.818181818181818,0.682926829268293,0.731707317073171,0.719298245614035,0.790697674418605,0.75,0.735849056603774,0.767441860465116,0.721739130434783,0.736,0.757009345794392,0.888297872340425,0.844444444444444,0.874074074074074,0.830985915492958,0.852791878172589,0.82843137254902,0.869747899159664,0.860262008733624,0.845132743362832,0.888888888888889,0.857798165137615,0.888888888888889,0.829145728643216,0.912863070539419,0.813471502590674,0.815217391304348,0.850393700787402,0.843881856540084,0.841121495327103,0.87843137254902,0.829787234042553,0.84070796460177,0.824468085106383,0.808510638297872,0.82648401826484,0.829145728643216,0.914396887159533,0.90032154340836,0.891891891891892,0.850746268656717,0.850202429149797,0.918674698795181,0.828193832599119,0.906716417910448,0.817647058823529,0.846473029045643,0.877828054298643,0.847457627118644,0.822335025380711,0.864406779661017,0.889344262295082,0.822784810126582,0.892561983471074,0.830845771144279,0.925,0.865168539325843,0.884297520661157,0.869767441860465,0.858407079646018,0.863157894736842,0.861660079051383,0.874439461883408,0.877551020408163,0.82843137254902,0.843621399176955,0.821917808219178
"Leaf05",0.737704918032787,0.746666666666667,0,0.81651376146789,0.807142857142857,0.797297297297297,0.854838709677419,0.764705882352941,0.87248322147651,0.861111111111111,0.865671641791045,0.822916666666667,0.732394366197183,0.833333333333333,0.827160493827161,0.7,0.845588235294118,0.838709677419355,0.866666666666667,0.691358024691358,0.777777777777778,0.747826086956522,0.725,0.834645669291339,0.693069306930693,0.7734375,0.771186440677966,0.78125,0.740384615384615,0.887096774193548,0.884057971014493,0.846153846153846,0.876712328767123,0.874371859296482,0.832512315270936,0.882845188284519,0.916317991631799,0.878787878787879,0.902654867256637,0.89237668161435,0.9,0.856435643564356,0.921161825726141,0.865,0.863157894736842,0.893129770992366,0.866666666666667,0.876712328767123,0.894941634241245,0.852631578947368,0.879310344827586,0.859375,0.805755395683453,0.851351351351351,0.845,0.91796875,0.91025641025641,0.910714285714286,0.821705426356589,0.862903225806452,0.934328358208955,0.842105263157895,0.910112359550562,0.81547619047619,0.873469387755102,0.906666666666667,0.860759493670886,0.85,0.894444444444444,0.915322580645161,0.828025477707006,0.877637130801688,0.857843137254902,0.919831223628692,0.863636363636364,0.892561983471074,0.894495412844037,0.882096069868996,0.893470790378007,0.869565217391304,0.898230088495575,0.867219917012448,0.838235294117647,0.861224489795918,0.857142857142857
"Leaf10",0.635714285714286,0.798165137614679,0.81651376146789,0,0.692307692307692,0.8,0.643939393939394,0.816666666666667,0.642384105960265,0.651006711409396,0.822916666666667,0.75,0.876106194690265,0.694267515923567,0.672514619883041,0.814814814814815,0.652777777777778,0.574803149606299,0.791304347826087,0.723214285714286,0.654929577464789,0.751724137931034,0.780701754385965,0.639705882352941,0.77536231884058,0.71523178807947,0.761904761904762,0.801242236024845,0.746268656716418,0.792079207920792,0.813664596273292,0.925287356321839,0.774390243902439,0.824324324324324,0.818965517241379,0.869888475836431,0.852713178294574,0.834645669291339,0.877952755905512,0.850202429149797,0.922018348623853,0.814159292035398,0.848837209302326,0.852173913043478,0.839449541284404,0.819494584837545,0.847014925373134,0.881422924901186,0.84115523465704,0.830275229357798,0.848837209302326,0.862222222222222,0.846590909090909,0.808163265306122,0.808888888888889,0.870503597122302,0.850609756097561,0.819327731092437,0.748344370860927,0.818518518518519,0.893258426966292,0.800796812749004,0.888135593220339,0.783505154639175,0.845018450184502,0.830578512396694,0.841509433962264,0.786363636363636,0.876190476190476,0.879120879120879,0.805405405405405,0.847908745247148,0.794642857142857,0.914814814814815,0.790816326530612,0.857677902621723,0.8559670781893,0.799180327868853,0.834415584415584,0.829710144927536,0.842105263157895,0.868613138686131,0.829059829059829,0.807547169811321,0.808943089430894
"Leaf12",0.612121212121212,0.757352941176471,0.807142857142857,0.692307692307692,0,0.845070422535211,0.652173913043478,0.8,0.700534759358289,0.626436781609195,0.881481481481482,0.63768115942029,0.846153846153846,0.65,0.681592039800995,0.797101449275362,0.559006211180124,0.664634146341463,0.804054054054054,0.777027027027027,0.603658536585366,0.748571428571429,0.812080536912752,0.631901840490798,0.775147928994083,0.658959537572254,0.784530386740331,0.790575916230366,0.773809523809524,0.829875518672199,0.831632653061224,0.902439024390244,0.810945273631841,0.813492063492063,0.776470588235294,0.824742268041237,0.832167832167832,0.823943661971831,0.886206896551724,0.82051282051282,0.903614457831325,0.785714285714286,0.864406779661017,0.8203125,0.802469135802469,0.799342105263158,0.819727891156463,0.84115523465704,0.819078947368421,0.804081632653061,0.794964028776978,0.824,0.841346153846154,0.773234200743494,0.8046875,0.875399361022364,0.837535014005602,0.827205882352941,0.829896907216495,0.785714285714286,0.877922077922078,0.744444444444444,0.877300613496933,0.79295154185022,0.818181818181818,0.83695652173913,0.822525597269625,0.78,0.872427983539095,0.872131147540984,0.806451612903226,0.847972972972973,0.792156862745098,0.911184210526316,0.819742489270386,0.825342465753425,0.842490842490842,0.787545787545788,0.814925373134328,0.816393442622951,0.830324909747292,0.820338983050848,0.804597701149425,0.757894736842105,0.800724637681159
"Leaf13",0.838461538461538,0.661764705882353,0.797297297297297,0.8,0.845070422535211,0,0.791304347826087,0.827586206896552,0.854166666666667,0.824817518248175,0.741379310344828,0.842105263157895,0.619047619047619,0.892617449664429,0.866666666666667,0.705882352941176,0.842105263157895,0.78448275862069,0.835294117647059,0.74390243902439,0.8203125,0.844262295081967,0.887640449438202,0.801652892561983,0.783018867924528,0.867647058823529,0.816666666666667,0.823076923076923,0.825688073394495,0.897297297297297,0.881481481481482,0.934782608695652,0.866197183098592,0.927184466019418,0.890995260663507,0.922448979591837,0.91063829787234,0.896551724137931,0.930131004366812,0.920353982300885,0.922651933701657,0.882352941176471,0.924686192468619,0.907317073170732,0.896373056994819,0.900383141762452,0.897540983606557,0.895454545454545,0.906614785992218,0.880208333333333,0.911016949152542,0.88659793814433,0.891156462585034,0.884955752212389,0.876847290640394,0.9296875,0.926751592356688,0.914414414414414,0.888059701492537,0.892857142857143,0.955752212389381,0.894067796610169,0.929368029739777,0.867052023121387,0.899193548387097,0.885321100917431,0.905737704918033,0.876237623762376,0.92896174863388,0.92741935483871,0.861635220125786,0.917695473251029,0.883495145631068,0.954545454545454,0.867816091954023,0.94,0.923076923076923,0.890350877192982,0.91864406779661,0.903100775193798,0.906666666666667,0.911290322580645,0.875,0.896,0.890350877192982
"Leaf18",0.621621621621622,0.747826086956522,0.854838709677419,0.643939393939394,0.652173913043478,0.791304347826087,0,0.834586466165414,0.702380952380952,0.582781456953642,0.833333333333333,0.67479674796748,0.852459016393443,0.702380952380952,0.695652173913044,0.815126050420168,0.664516129032258,0.573529411764706,0.774193548387097,0.761904761904762,0.666666666666667,0.748387096774193,0.830769230769231,0.625,0.786666666666667,0.69811320754717,0.78125,0.829545454545454,0.785234899328859,0.804651162790698,0.807017543859649,0.936170212765957,0.790960451977401,0.848739495798319,0.804166666666667,0.867857142857143,0.838345864661654,0.863970588235294,0.896296296296296,0.844357976653697,0.91703056768559,0.809322033898305,0.856088560885609,0.845833333333333,0.848484848484848,0.807017543859649,0.841726618705036,0.883018867924528,0.832167832167832,0.829694323144105,0.825757575757576,0.85531914893617,0.869109947643979,0.80859375,0.824267782426778,0.872413793103448,0.846153846153846,0.8,0.790419161676647,0.818505338078292,0.891008174386921,0.768627450980392,0.892857142857143,0.797101449275362,0.856140350877193,0.825396825396825,0.848920863309353,0.813559322033898,0.868181818181818,0.892361111111111,0.83,0.867383512544803,0.790598290598291,0.926315789473684,0.786407766990291,0.860215053763441,0.840637450199203,0.790513833992095,0.84472049689441,0.821052631578947,0.854406130268199,0.862676056338028,0.828571428571429,0.803636363636364,0.809338521400778
"Leaf21",0.744360902255639,0.679012345679012,0.764705882352941,0.816666666666667,0.8,0.827586206896552,0.834586466165414,0,0.861635220125786,0.850649350649351,0.873417721518987,0.875,0.773809523809524,0.854430379746835,0.791666666666667,0.535211267605634,0.843537414965986,0.819548872180451,0.826530612244898,0.77319587628866,0.789855072463768,0.723577235772358,0.736263736263736,0.816176470588235,0.728070175438597,0.811188811188811,0.784615384615385,0.792857142857143,0.769230769230769,0.888888888888889,0.848275862068965,0.868055555555556,0.827814569536424,0.892523364485981,0.831775700934579,0.88,0.885245901639344,0.871369294605809,0.9125,0.893617021276596,0.912371134020619,0.854460093896714,0.894736842105263,0.862559241706161,0.83756345177665,0.839080459770115,0.855421686746988,0.864035087719298,0.883458646616541,0.856435643564356,0.871900826446281,0.857142857142857,0.845161290322581,0.844827586206896,0.849056603773585,0.925925925925926,0.893416927899687,0.901709401709402,0.86986301369863,0.843137254901961,0.936781609195402,0.811158798283262,0.898550724637681,0.815642458100559,0.866666666666667,0.873913043478261,0.863453815261044,0.837320574162679,0.890052356020942,0.915384615384615,0.861271676300578,0.888446215139442,0.839622641509434,0.924,0.878947368421053,0.906614785992218,0.9004329004329,0.85531914893617,0.872053872053872,0.87593984962406,0.885106382978723,0.891472868217054,0.842592592592593,0.845849802371542,0.820175438596491
"Leaf23",0.63905325443787,0.835616438356164,0.87248322147651,0.642384105960265,0.700534759358289,0.854166666666667,0.702380952380952,0.861635220125786,0,0.688524590163935,0.89051094890511,0.772727272727273,0.900662251655629,0.644444444444444,0.614583333333333,0.840277777777778,0.637426900584795,0.58974358974359,0.821192052980133,0.818181818181818,0.670520231213873,0.797814207650273,0.86624203821656,0.690058479532164,0.831460674157303,0.773684210526316,0.818181818181818,0.845771144278607,0.830508474576271,0.805907172995781,0.855721393034826,0.953703703703704,0.817733990147783,0.850574712643678,0.809885931558935,0.879084967320261,0.844827586206896,0.844827586206896,0.89041095890411,0.858657243816254,0.925490196078431,0.810077519379845,0.861016949152542,0.865168539325843,0.854901960784314,0.807817589576547,0.847682119205298,0.889655172413793,0.846153846153846,0.84251968503937,0.857142857142857,0.869731800766283,0.874418604651163,0.817857142857143,0.832699619771863,0.882911392405063,0.857142857142857,0.819188191881919,0.806282722513089,0.841423948220065,0.90379746835443,0.790035587188612,0.897897897897898,0.819742489270386,0.864516129032258,0.837545126353791,0.854304635761589,0.818532818532819,0.882113821138211,0.894230769230769,0.839285714285714,0.878688524590164,0.820610687022901,0.925566343042071,0.810344827586207,0.875816993464052,0.851449275362319,0.810035842293907,0.853025936599424,0.843450479233227,0.863636363636364,0.859477124183007,0.832089552238806,0.792517006802721,0.822695035460993
"Leaf24",0.670588235294118,0.797101449275362,0.861111111111111,0.651006711409396,0.626436781609195,0.824817518248175,0.582781456953642,0.850649350649351,0.688524590163935,0,0.887218045112782,0.706293706293706,0.882758620689655,0.695652173913044,0.69,0.852112676056338,0.62874251497006,0.658385093167702,0.816326530612245,0.821192052980133,0.662721893491124,0.779661016949152,0.855263157894737,0.633540372670807,0.792899408284024,0.727777777777778,0.794444444444445,0.818652849740933,0.819767441860465,0.817796610169491,0.810526315789474,0.927536231884058,0.78974358974359,0.825396825396825,0.802325581395349,0.850847457627119,0.834507042253521,0.83859649122807,0.888888888888889,0.827205882352941,0.911290322580645,0.811764705882353,0.847222222222222,0.845559845559846,0.834008097165992,0.789297658862876,0.837837837837838,0.872340425531915,0.817275747508306,0.825910931174089,0.830985915492958,0.845238095238095,0.866666666666667,0.793357933579336,0.825581395348837,0.859477124183007,0.8328611898017,0.807547169811321,0.789189189189189,0.804054054054054,0.879895561357702,0.746268656716418,0.87962962962963,0.800884955752212,0.843853820598007,0.83941605839416,0.852348993288591,0.792,0.880165289256198,0.889250814332248,0.846846846846847,0.865771812080537,0.799212598425197,0.913907284768212,0.791111111111111,0.855218855218855,0.853479853479853,0.785185185185185,0.827380952380952,0.826229508196721,0.828467153284671,0.85,0.833962264150943,0.785467128027682,0.815884476534296
