"","sampleID_bact","sample_type","Sample_or_Control","extract_num","extract_kit","fungal_PCR_conc","raw_DNA_conc","bact_dilution","dil_DNA_conc","description","start_date","collect_date","short_description","wet_mass","vol_filter","sub_proj","plant_type","field_plot","gh_block","rain_trt","pot_num","UTM_lat","UTM_long","exp_len","seq_plate_no","seq_plate_row","seq_plate_col"
"Leaf03","Leaf03","Leaf","Sample","  3","Plant_1"," 1.211600",NA,NA,NA,"Marshall Leaf Pot 41","7/10/2018","9/5/2018","Pot_41_43346","0.0175",NA,"Marshall","Seedling","B4","B4","Field_rain","41","638812.0","4700754","57","2","A"," 5"
"Leaf04","Leaf04","Leaf","Sample","  4","Plant_1"," 1.366550",NA,NA,NA,"Seed Contr 1","Seed","7/10/2018","Seed_C1_43291","0.0129",NA,"Marshall","Seed","Control","Control","No_rain","C1",NA,NA,NA,"2","B"," 5"
"Leaf05","Leaf05","Leaf","Sample","  5","Plant_1"," 2.141300",NA,NA,NA,"Greenhouse Contr Pot 36","7/10/2018","7/16/2018","Pot_36_43297","0.0069",NA,"Marshall","Seedling","Greenhouse","B3","No_rain","36",NA,NA," 6","2","C"," 5"
"Leaf10","Leaf10d","Leaf","Sample"," 10","Plant_1"," 3.071000",NA,NA,NA,"Marshall Leaf Pot 26","7/10/2018","9/5/2018","Pot_26_43348","0.1113",NA,"Marshall","Seedling","B3","B3","Field_rain","26","638809.1","4700697","57","2","H"," 5"
"Leaf12","Leaf12","Leaf","Sample"," 12","Plant_1"," 3.071000",NA,NA,NA,"Marshall Leaf Pot 17","7/10/2018","9/5/2018","Pot_17_43348","0.0320",NA,"Marshall","Seedling","B2","B2","Field_rain","17","638976.6","4700617","57","2","B"," 6"
"Leaf13","Leaf13","Leaf","Sample"," 13","Plant_1"," 1.521500",NA,NA,NA,"Seed Contr 2","Seed","7/10/2018","Seed_C2_43291","0.0456",NA,"Marshall","Seed","Control","Control","No_rain","C2",NA,NA,NA,"2","C"," 6"
"Leaf18","Leaf18","Leaf","Sample"," 18","Plant_1"," 3.845750",NA,NA,NA,"Marshall Leaf Pot 2","7/10/2018","9/5/2018","Pot_2_43348","0.0566",NA,"Marshall","Seedling","B1","B1","Field_rain","2","639046.1","4700604","57","2","H"," 6"
"Leaf21","Leaf21","Leaf","Sample"," 21","Plant_1"," 3.071000",NA,NA,NA,"Greenhouse Contr Pot 47","7/10/2018","7/16/2018","Pot_47_43297","0.0184",NA,"Marshall","Seedling","Greenhouse","B4","No_rain","47",NA,NA," 6","2","C"," 7"
"Leaf23","Leaf23","Leaf","Sample"," 23","Plant_1"," 5.550200",NA,NA,NA,"Marshall Leaf Pot 42","7/10/2018","9/5/2018","Pot_42_43348","0.1433",NA,"Marshall","Seedling","B4","B4","Field_rain","42","638812.0","4700754","57","2","E"," 7"
"Leaf24","Leaf24","Leaf","Sample"," 24","Plant_1"," 4.310600",NA,NA,NA,"Marshall Leaf Pot 4","7/10/2018","9/5/2018","Pot_4_43348","0.0687",NA,"Marshall","Seedling","B1","B1","Field_rain","4","639046.1","4700604","57","2","F"," 7"
"Leaf25","Leaf25","Leaf","Sample"," 25","Plant_1"," 1.831400",NA,NA,NA,"Marshall Leaf Pot 9","7/10/2018","9/5/2018","Pot_9_43348","0.0051",NA,"Marshall","Seedling","B1","B1","Field_rain","9","639046.1","4700604","57","2","G"," 7"
"Leaf27","Leaf27","Leaf","Sample"," 27","Plant_1"," 1.521500",NA,NA,NA,"Marshall Leaf Pot 25","7/10/2018","9/5/2018","Pot_25_43348","0.0066",NA,"Marshall","Seedling","B3","B3","Field_rain","25","638809.1","4700697","57","2","A"," 8"
