"","s1_s2","sample2","sample1","jaccard","nestedness","turnover","s1_sample_type","s1_collect_date","s1_sub_proj","s1_plant_type","s1_gh_block","s1_rain_trt","s1_UTM_lat","s1_UTM_long","s2_sample_type","s2_collect_date","s2_sub_proj","s2_plant_type","s2_gh_block","s2_rain_trt","s2_UTM_lat","s2_UTM_long","s1_s2_plant_type","s1_s2_collect_date","s1_collect_date_plant_type","s2_collect_date_plant_type","shared","not.shared","similarity","s1_s2_rain_trt","s1_s2_gh_block"
"1","Leaf03.Leaf04","Leaf04","Leaf03",0.741935483870968,0.241935483870968,0.5,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/10/2018","Marshall","Seed","Control","No_rain",NA,NA,"Seedling.Seed","9/5/2018.7/10/2018","9/5/2018.Seedling","7/10/2018.Seed",32,16,0.258064516129032,"Field_rain.No_rain","B4.Control"
"2","Leaf03.Leaf05","Leaf05","Leaf03",0.737704918032787,0.27103825136612,0.466666666666667,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/16/2018","Marshall","Seedling","B3","No_rain",NA,NA,"Seedling.Seedling","9/5/2018.7/16/2018","9/5/2018.Seedling","7/16/2018.Seedling",32,14,0.262295081967213,"Field_rain.No_rain","B4.B3"
"3","Leaf03.Leaf07","Leaf07","Leaf03",0.813953488372093,0.177589852008457,0.636363636363636,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B1","Sterile_rain",639046.075,4700603.84,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",24,21,0.186046511627907,"Field_rain.Sterile_rain","B4.B1"
"4","Leaf03.Leaf08","Leaf08","Leaf03",0.833333333333333,0.147619047619048,0.685714285714286,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B3","Live_Rain",638809.092,4700697.086,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",22,24,0.166666666666667,"Field_rain.Live_Rain","B4.B3"
"5","Leaf03.Leaf09","Leaf09","Leaf03",0.836065573770492,0.252732240437158,0.583333333333333,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B4","Live_Rain",638811.969,4700754.249,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",20,14,0.163934426229508,"Field_rain.Live_Rain","B4.B4"
"6","Leaf03.Leaf10","Leaf10","Leaf03",0.635714285714286,0.0791925465838509,0.556521739130435,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B3","Field_rain",638809.092,4700697.086,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",51,32,0.364285714285714,"Field_rain.Field_rain","B4.B3"
"7","Leaf03.Leaf11","Leaf11","Leaf03",0.640845070422535,0.0694164989939638,0.571428571428571,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","Nano","Nano",NA,NA,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",51,34,0.359154929577465,"Field_rain.Nano","B4.Nano"
"8","Leaf03.Leaf12","Leaf12","Leaf03",0.612121212121212,0.0331738437001595,0.578947368421053,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B2","Field_rain",638976.568,4700616.674,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",64,57,0.387878787878788,"Field_rain.Field_rain","B4.B2"
"9","Leaf03.Leaf13","Leaf13","Leaf03",0.838461538461538,0.161538461538462,0.676923076923077,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/10/2018","Marshall","Seed","Control","No_rain",NA,NA,"Seedling.Seed","9/5/2018.7/10/2018","9/5/2018.Seedling","7/10/2018.Seed",21,22,0.161538461538462,"Field_rain.No_rain","B4.Control"
"10","Leaf03.Leaf14","Leaf14","Leaf03",0.754098360655738,0.271339739966083,0.482758620689655,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B4","Sterile_rain",638811.969,4700754.249,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",30,14,0.245901639344262,"Field_rain.Sterile_rain","B4.B4"
