"","sampleID_bact","sample_type","Sample_or_Control","extract_num","extract_kit","fungal_PCR_conc","raw_DNA_conc","bact_dilution","dil_DNA_conc","description","start_date","collect_date","short_description","wet_mass","vol_filter","sub_proj","plant_type","field_plot","gh_block","rain_trt","pot_num","UTM_lat","UTM_long","exp_len","seq_plate_no","seq_plate_row","seq_plate_col","date_trt"
"Leaf04","Leaf04","Leaf","Sample","  4","Plant_1"," 1.36655",NA,NA,NA,"Seed Contr 1","Seed","7/10/2018","Seed_C1_43291","0.0129",NA,"Marshall","Seed","Control","Control","No_rain","C1",NA,NA,NA,"2","B"," 5","7/10/2018.No_rain"
"Leaf07","Leaf07","Leaf","Sample","  7","Plant_1"," 1.67645",NA,NA,NA,"Petri S1 B1","8/21/2018","9/18/2018","S1B1_43361","0.0055",NA,"Marshall","Petri","B1","B1","Sterile_rain","S1","639046.1","4700604","28","2","E"," 5","9/18/2018.Sterile_rain"
"Leaf08","Leaf08","Leaf","Sample","  8","Plant_1"," 1.52150",NA,NA,NA,"Petri L2 B3","8/21/2018","9/18/2018","L2B3_43361","0.0064",NA,"Marshall","Petri","B3","B3","Live_Rain","L2","638809.1","4700697","28","2","F"," 5","9/18/2018.Live_Rain"
"Leaf09","Leaf09","Leaf","Sample","  9","Plant_1"," 1.67645",NA,NA,NA,"Petri L2 B4","8/21/2018","9/18/2018","L2B4_43361","0.0145",NA,"Marshall","Petri","B4","B4","Live_Rain","L2","638812.0","4700754","28","2","G"," 5","9/18/2018.Live_Rain"
"Leaf13","Leaf13","Leaf","Sample"," 13","Plant_1"," 1.52150",NA,NA,NA,"Seed Contr 2","Seed","7/10/2018","Seed_C2_43291","0.0456",NA,"Marshall","Seed","Control","Control","No_rain","C2",NA,NA,NA,"2","C"," 6","7/10/2018.No_rain"
"Leaf14","Leaf14","Leaf","Sample"," 14","Plant_1"," 3.07100",NA,NA,NA,"Petri S1 B4","7/21/2018","8/14/2018","S1B4_43302","0.0203",NA,"Marshall","Petri","B4","B4","Sterile_rain","S1","638812.0","4700754","24","2","D"," 6","8/14/2018.Sterile_rain"
"Leaf15","Leaf15","Leaf","Sample"," 15","Plant_1"," 7.25465",NA,NA,NA,"Petri S2 B3","8/21/2018","9/18/2018","S2B3_43361","0.0050",NA,"Marshall","Petri","B3","B3","Sterile_rain","S2","638809.1","4700697","28","2","E"," 6","9/18/2018.Sterile_rain"
"Leaf19","Leaf19","Leaf","Sample"," 19","Plant_1"," 2.76110",NA,NA,NA,"Petri S2 B1","7/21/2018","8/14/2018","S2B1_43302","0.0393",NA,"Marshall","Petri","B1","B1","Sterile_rain","S2","639046.1","4700604","24","2","A"," 7","8/14/2018.Sterile_rain"
"Leaf22","Leaf22","Leaf","Sample"," 22","Plant_1"," 2.45120",NA,NA,NA,"Petri S1 B2","8/21/2018","9/18/2018","S1B2_43361","0.0058",NA,"Marshall","Petri","B2","B2","Sterile_rain","S1","638976.6","4700617","28","2","D"," 7","9/18/2018.Sterile_rain"
"Leaf26","Leaf26","Leaf","Sample"," 26","Plant_1","10.81850",NA,NA,NA,"Petri L1 B1","7/21/2018","8/14/2018","L1B1_43302","0.0657",NA,"Marshall","Petri","B1","B1","Live_Rain","L1","639046.1","4700604","24","2","H"," 7","8/14/2018.Live_Rain"
