sampleID_bact,sampleID_fung,sample_type,Sample_or_Control,extract_num,extract_kit,fungal_PCR_conc,raw_DNA_conc,bact_dilution,dil_DNA_conc,description,start_date,collect_date,short_description,wet_mass,vol_filter,sub_proj,plant_type,field_plot,gh_block,rain_trt,pot_num,UTM_lat,UTM_long,exp_len,seq_plate_no,seq_plate_row,seq_plate_col
RX015GLBRC15,RX015GLBRC15,Rain,Sample,15,Water_2,8.5704,0.268,1,0.268,G5r2 6-5-017 ,6/2/2017,6/5/2017,GLBRC15,NA,100,GLBRC,Rain,r2,r2,Rain,r2,633844.703,4694949.52,3,1,H,2
RX010GLBRC10,RX010GLBRC10,Rain,Sample,10,Water_2,8.2133,1.26,1,1.26,G5r2 6-14-017 ,6/5/2017,6/14/2017,GLBRC10,NA,210,GLBRC,Rain,r2,r2,Rain,r2,633844.703,4694949.52,9,1,B,2
RX019GLBRC19,RX019GLBRC19,Rain,Sample,19,Water_2,8.9275,2.5,1,2.5,GLBRC,6/14/2017,6/15/2017,GLBRC19,NA,337,GLBRC,Rain,r2,r2,Rain,r2,633844.703,4694949.52,1,1,D,3
RX033GLBRC33,RX033GLBRC33,Rain,Sample,33,Water_2,9.6417,29.8,0.5,14.9,G5r1 6-26-017,6/23/2017,6/26/2017,GLBRC33,NA,300,GLBRC,Rain,r1,r1,Rain,r1,633684.8,4695004.648,3,1,C,5
RX060GLBRC60,RX060GLBRC60,Rain,Sample,60,Water_1,11.0701,28.8,0.5,14.4,G5r2  6-26-017,6/23/2017,6/26/2017,GLBRC60,NA,300,GLBRC,Rain,r2,r2,Rain,r2,633844.684,4694950.528,3,1,F,8
RX101GLBRC101,RX101GLBRC101,Rain,Sample,101,Water_3,9.4225,23.4,0.5,11.7,G5r3  6-26-017,6/23/2017,6/26/2017,GLBRC101,NA,300,GLBRC,Rain,r3,r3,Rain,r3,633985.22,4695009.999,3,2,A,2
RX029GLBRC29,RX029GLBRC29,Rain,Sample,29,Water_2,6.0707,43.4,0.25,10.85,G5r4  6-26-017,6/23/2017,6/26/2017,GLBRC29,NA,200,GLBRC,Rain,r4,r4,Rain,r4,633815.342,4694896.588,3,1,F,4
RX045GLBRC45,RX045GLBRC45,Rain,Sample,45,Water_2,7.4991,3.02,1,3.02,G5r1 6-29-017,6/26/2017,6/29/2017,GLBRC45,NA,500,GLBRC,Rain,r1,r1,Rain,r1,633684.8,4695004.648,3,1,G,6
RX044GLBRC44,RX044GLBRC44,Rain,Sample,44,Water_2,9.2846,6.4,1,6.4,G5r2 6-29-017,6/26/2017,6/29/2017,GLBRC44,NA,500,GLBRC,Rain,r2,r2,Rain,r2,633844.684,4694950.528,3,1,F,6
RX105GLBRC105,RX105GLBRC105,Rain,Sample,105,Water_3,3.5797,2.94,1,2.94,G5r3 6-29-017,6/26/2017,6/29/2017,GLBRC105,NA,500,GLBRC,Rain,r3,r3,Rain,r3,633985.22,4695009.999,3,2,E,2
RX035GLBRC35,RX035GLBRC35,Rain,Sample,35,Water_2,5.89215,3.24,1,3.24,G5r4 6-29-017,6/26/2017,6/29/2017,GLBRC35,NA,500,GLBRC,Rain,r4,r4,Rain,r4,633815.342,4694896.588,3,1,E,5
RX121GLBRC121,RX121GLBRC121,Rain,Sample,121,Water_3,1.7088,13.9,1,13.9,G5r1-4 7-17-017,7/13/2017,7/17/2017,GLBRC121,NA,0,GLBRC,Rain,r1_2_3_4,r1_2_3_4,Rain,r1_2_3_4,633844.703,4694949.52,4,2,F,4
RX055GLBRC55,RX055GLBRC55,Rain,Sample,55,Water_1,4.2852,70,0.1,7,G5r1 7-24-017,7/17/2017,7/24/2017,GLBRC55,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,7,1,A,8
RX023GLBRC23,RX023GLBRC23,Rain,Sample,23,Water_2,1.4284,146,0.1,14.6,G5r2 7-24-017,7/17/2017,7/24/2017,GLBRC23,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,7,1,H,3
RX104GLBRC104,RX104GLBRC104,Rain,Sample,104,Water_3,1.7815,93.8,0.1,9.38,G5r3 7-24-017,7/17/2017,7/24/2017,GLBRC104,NA,125,GLBRC,Rain,r3,r3,Rain,r3,633985.999,4694969.057,7,2,D,2
RX086GLBRC86,RX086GLBRC86,Rain,Sample,86,Water_1,4.6423,77.6,0.1,7.76,G5r4 7-24-017,7/17/2017,7/24/2017,GLBRC86,NA,100,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,7,1,B,12
RX031GLBRC31,RX031GLBRC31,Rain,Sample,31,Water_2,5.3565,31.6,0.25,7.9,G5r1 8-7-017,8/3/2017,8/7/2017,GLBRC31,NA,500,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,4,1,A,5
