Classification	RDP	UTAX	SINTAX	Consensus
	0	2647	0	0
0.8000	0	0	0	4
0.8100	0	0	0	2
0.8200	0	0	0	3
0.8300	0	0	0	1
0.8600	0	0	0	5
0.8700	0	0	0	1
0.8800	0	0	0	3
0.9000	0	0	0	3
0.9100	0	0	0	5
0.9200	0	0	0	2
0.9300	0	0	0	1
0.9400	0	0	0	1
0.9500	0	0	0	3
0.9600	0	0	0	2
0.9700	0	0	0	4
0.9800	0	0	0	6
0.9900	0	0	0	34
1.0000	0	0	0	408
Alveolata	91	5	11	91
Amoebozoa	0	1	1	1
Arthropoda	0	0	0	3
Cercozoa	0	0	0	5
Ciliophora	0	0	0	2
Fungi	15341	12656	15678	15820
Heterolobosa	7	7	0	11
Insecta	0	0	0	1
Metazoa	7	4	2	6
Mortierellomycota	0	0	0	1
Protista	124	0	11	127
Rhizaria	9	0	1	5
Stramenopila	4	3	0	4
Unidentified	1586	2039	1634	594
Viridiplantae	1126	1104	1128	1136
Anthophyta	943	942	967	973
Arthropoda	7	0	0	3
Ascomycota	8571	6479	8986	9230
Basidiobolomycota	1	1	1	1
Basidiomycota	5049	4573	5225	5317
Blastocladiomycota	5	5	0	5
Bryophyta	4	4	12	5
Bryopsida	0	0	0	8
Cercozoa	9	0	1	5
Chlorophyta	146	105	142	148
Chytridiomycota	20	12	21	25
Ciliophora	88	5	6	88
Colpodea	0	0	0	2
Entomophthoromycota	1	1	0	1
Glomeromycota	0	0	59	59
Heterolobosa_phy_incertae_sedis	0	5	0	5
Incertae_sedis	7	0	1	7
Insecta	0	0	0	3
Lepidoptera	0	0	0	1
Mortierellomycetes	0	0	0	1
Mortierellomycota	6	3	6	6
Mucoromycota	66	61	66	66
Ochrophyta	4	3	0	4
Olpidiomycota	2	2	0	2
Porifera	0	0	2	2
Rozellomycota	1	1	0	1
Spizellomycetes	0	0	0	1
Streptophyta	8	0	0	0
Unidentified	3357	6264	2971	2326
Agaricomycetes	2902	2455	2946	2994
Agaricostilbomycetes	60	41	58	69
Arthoniomycetes	9	6	0	9
Atractiellomycetes	6	3	4	6
Basidiobolomycetes	1	1	1	1
Blastocladiomycetes	5	5	0	5
Bryopsida	4	4	12	5
Calcarea	0	0	2	2
Chlamydomonas	4	0	0	4
Chloromonas	1	0	0	1
Chlorophyceae	8	6	1	8
Chlorosarcinopsis	3	0	0	3
Classiculales	0	0	0	1
Classiculomycetes	7	0	0	6
Coenochloris	6	0	0	6
Colpodea	59	0	0	57
Colpodida	0	0	0	2
Crambidae	0	0	0	1
Cystobasidiomycetes	128	64	86	137
Dacrymycetes	1	2	3	3
Dothideomycetes	4767	2840	5105	5303
Entomophthoromycetes	1	1	0	1
Eudicotyledonae	46	48	67	71
Eurotiomycetes	317	237	368	393
Eustigmatophyceae	2	1	0	2
Exobasidiomycetes	201	195	177	214
Geminibasidiomycetes	1	0	1	1
Glomeromycetes	0	0	59	59
Gs18	2	2	0	2
Heterolobosea	7	5	0	11
Incertae_sedis	1	0	1	2
Insecta	7	0	0	3
Laboulbeniomycetes	7	1	0	7
Lecanoromycetes	259	189	283	313
Leotiomycetes	277	202	282	318
Lepidoptera	0	0	0	3
Litostomatea	0	0	1	1
Malasseziomycetes	14	12	1	14
Microbotryomycetes	309	259	352	356
Monocotyledonae	889	883	889	899
Mortierellales	0	0	0	1
Mortierellomycetes	6	3	6	6
Mucoromycetes	66	61	66	66
Oligohymenophorea	3	2	3	3
Orbiliomycetes	89	94	84	107
Pezizomycetes	36	24	34	37
Pezizomycotina_cls_incertae_sedis	0	5	0	0
Phyllopharyngea	0	0	2	2
Pseudostichococcus	1	0	0	1
Pucciniomycetes	15	15	14	15
Rhizophlyctidomycetes	6	5	6	6
Rhizophydiomycetes	4	3	3	4
Saccharomycetes	190	179	281	281
Sordariomycetes	1668	1391	1774	1863
Spiculogloeomycetes	31	26	0	31
Spirotrichea	12	3	0	12
Spizellomycetales	0	0	0	1
Spizellomycetes	5	4	8	7
Synurophyceae	2	0	0	2
Taphrinomycetes	96	99	97	102
Trebouxiophyceae	96	69	93	97
Tremellomycetes	1168	996	1233	1257
Ulvophyceae	1	0	1	1
Unidentified	4378	7927	3950	2982
Ustilaginomycetes	82	76	84	87
Wallemiomycetes	29	22	28	31
Acarosporales	1	1	1	1
Acrospermales	6	27	0	29
Agaricales	736	602	766	780
Agaricomycetes_ord_incertae_sedis	0	24	0	3
Agaricostilbales	53	38	57	66
Alliaceae	1	0	1	1
Amylocorticiales	4	7	0	7
Asterales	9	8	11	11
Atheliales	5	6	10	13
Atractiellales	6	3	4	6
Auriculariales	99	69	98	116
Basidiobolales	1	1	1	1
Blastocladiales	5	1	0	5
Boletales	23	22	19	23
Botryosphaeriales	49	51	71	79
Brassicales	5	5	10	10
Caliciales	125	107	135	135
Candelariales	4	4	4	8
Cantharellales	175	140	182	198
Capnodiales	772	356	825	846
Caryophyllales	2	1	3	3
Chaetosphaeriales	6	6	8	8
Chaetothyriales	157	41	189	213
Chlamydomonadales	3	0	0	3
Chlamydomonas_applanata	3	0	0	3
Chlorellales	1	1	0	1
Chloromonas_typhlos	1	0	0	1
Chlorosarcinopsis_eremi	2	0	0	2
Chlorosarcinopsis_sp_30363	1	0	0	1
Chrysozymaceae	0	0	0	1
Classiculaceae	0	0	0	1
Classiculales	7	0	0	6
Clathrinida	0	0	2	2
Coenochloris_signiensis	3	0	0	3
Coenochloris_sp_30959	3	0	0	3
Colpodida	59	0	0	57
Colpodidae	0	0	0	2
Coniochaetales	12	10	12	12
Corticiaceae	0	0	0	1
Corticiales	50	33	19	65
Coryneliales	10	9	9	10
Crambidae	0	0	0	3
Cryptococcus sp	0	0	0	1
Cucurbitales	3	3	3	3
Cystobasidiales	11	11	16	17
Cystobasidiomycetes_ord_incertae_sedis	0	33	0	9
Cystofilobasidiales	36	29	35	36
Dacrymycetales	1	1	3	4
Dendrothele	0	0	0	7
Diaporthales	250	206	265	280
Dothideales	291	106	297	308
Dothideomycetes_ord_incertae_sedis	0	10	0	0
Entomophthorales	1	1	0	1
Entylomatales	35	32	15	35
Erysiphales	16	16	16	16
Erythrobasidiales	57	7	6	57
Eurotiales	85	77	101	101
Eustigmatales	2	1	0	2
Exobasidiales	21	13	23	24
Exogenida	0	0	2	2
Fabales	15	15	19	19
Fagales	3	1	2	3
Filobasidiales	53	31	97	101
Fitzroyomyces cyperacearum	0	0	0	1
Funariales	1	1	0	1
Geastrales	1	1	1	1
Geminibasidiales	1	0	1	1
Gloeophyllales	5	5	4	5
Glomerales	0	0	59	59
Glomerellales	71	54	66	80
Golubeviales	15	4	0	14
Gs02	1	0	0	1
Gs18	2	0	0	2
Helicobasidiales	1	1	0	1
Helotiales	226	105	209	266
Holtermanniales	4	4	0	4
Hymenochaetales	266	249	199	289
Hymenostomatida	1	0	0	1
Hypnales	3	3	3	3
Hypocreales	450	237	447	478
Hysteriales	4	11	12	18
Incertae_sedis	131	0	73	151
Kriegeriales	3	3	0	3
Lamiales	4	6	8	11
Lecanorales	43	31	49	49
Lecanoromycetes_ord_incertae_sedis	0	3	0	3
Lepidoptera	7	0	0	3
Leucosporidiales	7	6	7	7
Lichenostigmatales	9	6	0	9
Magnaporthales	15	25	7	31
Malasseziales	14	11	1	14
Malvales	1	2	2	2
Microbotryales	23	22	23	23
Microbotryomycetes_ord_incertae_sedis	0	30	0	3
Microstromatales	62	65	62	64
Microthamniales	0	2	0	2
Microthyriales	1	0	0	1
Mortierellaceae	0	0	0	1
Mortierellales	6	3	6	6
Mucorales	66	61	66	66
Mycocaliciales	2	1	0	2
Myriangiales	16	11	22	24
Myrmecridiales	3	0	0	3
Mytilinidiales	6	6	0	6
Naohideales	3	0	0	0
Oligohymenophorea_ord_incertae_sedis	0	1	0	0
Onygenales	2	1	4	4
Oocystales	3	13	0	15
Ophiostomatales	1	0	0	1
Orbiliales	88	84	80	102
Ostropales	61	12	3	63
Patellariales	8	8	0	9
Petrophila	0	0	0	1
Pezizales	36	24	34	37
Pezizomycotina_ord_incertae_sedis	0	4	0	0
Phaeomoniellales	46	14	56	56
Phomatosporales	4	0	0	4
Pisorisporiales	1	0	0	1
Platygloeales	3	3	0	3
Pleosporales	3353	1210	3632	3822
Pleurotheciales	0	0	1	1
Poales	886	881	884	898
Polyporales	797	693	821	866
Prasiolales	2	2	0	2
Pseudostichococcus_monallantoides	1	0	0	1
Pucciniales	11	11	13	11
Pyxidiophorales	7	0	0	7
Rhizophlyctidales	6	5	6	6
Rhizophydiales	4	3	3	4
Rhytismatales	12	4	12	13
Rosales	2	2	3	3
Russulales	292	212	329	356
Saccharomycetales	190	135	281	281
Schizopyrenida	7	5	0	11
Sebacinales	22	8	27	27
Sordariales	16	7	12	20
Sphaeropleales	3	3	0	3
Spiculogloeales	26	26	0	26
Spizellomycetales	5	3	8	7
Sporadotrichida	9	0	0	9
Sporidiobolales	179	158	163	193
Taphrinales	96	99	97	102
Teloschistales	1	1	2	1
Thelebolales	14	14	1	14
Thelephorales	8	8	8	8
Tilletiales	68	65	75	76
Togniniales	0	0	4	4
Trapeliales	1	1	1	1
Trebouxiales	58	50	58	59
Trechisporales	32	25	23	35
Tremellales	998	809	976	1035
Tremellodendropsidales	6	0	6	6
Trentepohliales	1	0	1	1
Trichosphaeriales	26	27	40	73
Trichosporonales	12	12	12	12
Tubeufiales	11	0	34	35
Unidentified	5287	10123	5261	3582
Urocystidales	4	7	3	7
Urostylida	3	3	0	3
Ustilaginales	76	68	81	80
Vannellidae	0	0	1	1
Venturiales	13	10	14	14
Verrucariales	1	0	1	1
Volvocales	2	2	0	2
Wallemiales	29	22	28	31
Xenospadicoidales	1	0	0	1
Xylariales	711	453	703	774
Acarosporaceae	1	1	1	1
Acrospermaceae	6	0	0	6
Acrospermales_fam_incertae_sedis	0	23	0	23
Actinochloridaceae	1	0	0	1
Agaricaceae	22	21	24	23
Agaricales_fam_incertae_sedis	0	6	0	0
Agaricomycetes_fam_incertae_sedis	0	22	0	5
Agaricostilbaceae	2	1	0	2
Ajellomycetaceae	0	0	1	1
