OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
Zotu1	Viridiplantae	Viridiplantae	Viridiplantae	Viridiplantae	Anthophyta	Anthophyta	Anthophyta	Anthophyta	Monocotyledonae	Monocotyledonae	Monocotyledonae	Monocotyledonae	Poales	Poales	Poales	Poales	Poaceae	Poaceae		Poaceae								
Zotu2	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Tilletiales	Tilletiales	Tilletiales	Tilletiales	Tilletiaceae	Tilletiaceae	Tilletiaceae	Tilletiaceae	Tilletia	Tilletia	Tilletia	Tilletia	Tilletia maclaganii			Tilletia maclaganii
Zotu3	Viridiplantae	Viridiplantae	Viridiplantae	Viridiplantae	Anthophyta	Anthophyta	Anthophyta	Anthophyta	Monocotyledonae	Monocotyledonae	Monocotyledonae	Monocotyledonae	Poales	Poales	Poales	Poales	Poaceae	Poaceae		Poaceae								
Zotu4	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Tremellomycetes		Tremellomycetes		Filobasidiales		Filobasidiales		Filobasidiaceae		Filobasidiaceae		Filobasidium		Filobasidium				
Zotu5	Fungi	Fungi	1.0000	Fungi	Basidiomycota			Basidiomycota	Cystobasidiomycetes			Cystobasidiomycetes	Erythrobasidiales			Erythrobasidiales	Erythrobasidiaceae			Erythrobasidiaceae	Erythrobasidium			Erythrobasidium				
Zotu6	Fungi	Fungi		Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Pleosporaceae	Pleosporaceae		Pleosporaceae	Alternaria	Alternaria		Alternaria				
Zotu7	Fungi	Fungi		Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Pleosporaceae	Pleosporaceae		Pleosporaceae	Alternaria	Alternaria		Alternaria				
Zotu8	Fungi	Fungi		Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Capnodiales	Capnodiales		Capnodiales	Cladosporiaceae			Cladosporiaceae	Cladosporium			Cladosporium				
Zotu9	Fungi	Fungi		Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Pleosporaceae	Pleosporaceae		Pleosporaceae	Alternaria	Alternaria		Alternaria				
Zotu10	Fungi	Fungi		Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Capnodiales	Capnodiales		Capnodiales	Cladosporiaceae			Cladosporiaceae	Cladosporium			Cladosporium				
