OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu1	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae		
Zotu2	Fungi	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	Tilletia maclaganii
Zotu3	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae		
Zotu4	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
Zotu5	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	
Zotu6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
Zotu7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
Zotu8	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
Zotu10	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu11	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
Zotu13	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
Zotu14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
Zotu15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
Zotu16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
Zotu17	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	
Zotu19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
Zotu20	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Incertae_sedis	Tilletiopsis	Tilletiopsis washingtonensis
Zotu21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	
Zotu22	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
